unix_time, time_stamp, talker_ID, speed (m/s), angle (deg), status
1676034624, 2023/2/10 13:10:24, $WI,WVP=000.1,219,0*7B
1676034626, 2023/2/10 13:10:26, $WI,WVP=000.1,209,0*7A
1676034628, 2023/2/10 13:10:28, $WI,WVP=000.1,217,0*75
1676034630, 2023/2/10 13:10:30, $WI,WVP=000.0,114,0*74
1676034632, 2023/2/10 13:10:32, $WI,WVP=000.2,214,0*75
1676034634, 2023/2/10 13:10:34, $WI,WVP=000.4,211,0*76
1676034636, 2023/2/10 13:10:36, $WI,WVP=000.0,183,0*7A
1676034638, 2023/2/10 13:10:38, $WI,WVP=000.2,218,0*79
1676034640, 2023/2/10 13:10:40, $WI,WVP=000.3,212,0*72
1676034642, 2023/2/10 13:10:42, $WI,WVP=000.1,295,0*7F
